Data	Último	Abertura	Máxima	Mínima	Vol.	Var%
15.10.2020	0,24585	0,24912	0,25002	0,24307	1,13B	-1,31%
14.10.2020	0,24912	0,25654	0,25831	0,24613	1,07B	-2,90%
13.10.2020	0,25656	0,25596	0,25997	0,25277	1,29B	0,19%
12.10.2020	0,25606	0,2554	0,25819	0,24918	1,39B	0,27%
11.10.2020	0,25537	0,25391	0,25848	0,25327	1,13B	0,57%
10.10.2020	0,25392	0,25299	0,2601	0,25288	1,24B	0,40%
09.10.2020	0,25291	0,25117	0,25662	0,24957	1,25B	0,71%
08.10.2020	0,25113	0,24862	0,25289	0,24208	975,37M	0,97%
07.10.2020	0,24872	0,24562	0,2514	0,24097	1,15B	1,24%
06.10.2020	0,24567	0,25051	0,25916	0,24074	1,41B	-1,85%
05.10.2020	0,2503	0,24792	0,2542	0,24637	1,16B	0,99%
04.10.2020	0,24785	0,23265	0,25014	0,23152	1,30B	6,50%
03.10.2020	0,23273	0,23396	0,23523	0,23255	1,08B	-0,50%
02.10.2020	0,2339	0,23824	0,23934	0,22849	1,23B	-1,83%
01.10.2020	0,23826	0,24183	0,24439	0,23418	1,24B	-1,44%
30.09.2020	0,24174	0,24288	0,24288	0,23774	1,22B	-0,42%
29.09.2020	0,24274	0,24105	0,24661	0,23845	1,25B	0,73%
28.09.2020	0,24099	0,24331	0,24838	0,24017	1,40B	-0,98%
27.09.2020	0,24339	0,24151	0,24468	0,23743	943,95M	0,75%
26.09.2020	0,24157	0,24149	0,24546	0,23776	939,30M	0,01%
25.09.2020	0,24155	0,23279	0,24467	0,22962	875,93M	3,79%
24.09.2020	0,23273	0,22146	0,23383	0,21955	791,79M	5,09%
23.09.2020	0,22145	0,23297	0,23503	0,22042	705,56M	-4,94%
22.09.2020	0,23295	0,23079	0,23451	0,22942	835,78M	0,92%
21.09.2020	0,23083	0,2466	0,24808	0,22928	1,24B	-6,32%
20.09.2020	0,24641	0,25082	0,25131	0,2425	774,90M	-1,87%
19.09.2020	0,25111	0,25061	0,25459	0,24748	862,88M	0,20%
18.09.2020	0,25061	0,25214	0,25523	0,24641	1,09B	-0,59%
17.09.2020	0,25209	0,24683	0,25821	0,24614	1,10B	2,17%
16.09.2020	0,24674	0,24331	0,25112	0,23431	1,09B	1,41%
15.09.2020	0,24331	0,24559	0,24939	0,24218	1,07B	-0,97%
14.09.2020	0,2457	0,24203	0,24833	0,23915	1,07B	1,50%
13.09.2020	0,24206	0,24741	0,25336	0,23778	1,02B	-2,19%
12.09.2020	0,24748	0,24258	0,24873	0,24023	1,35B	2,02%
11.09.2020	0,24257	0,24311	0,24441	0,23701	1,35B	-0,23%
10.09.2020	0,24312	0,23901	0,24858	0,23888	1,56B	1,71%
09.09.2020	0,23904	0,2365	0,24273	0,23312	1,43B	1,07%
08.09.2020	0,2365	0,242	0,24355	0,23133	1,75B	-2,30%
07.09.2020	0,24207	0,23985	0,24285	0,22986	1,77B	0,93%
06.09.2020	0,23984	0,23737	0,2434	0,22977	1,78B	1,05%
05.09.2020	0,23736	0,25403	0,25941	0,23152	2,22B	-6,56%
04.09.2020	0,25404	0,2443	0,26547	0,24113	2,07B	3,99%
03.09.2020	0,2443	0,27602	0,27647	0,2397	2,07B	-11,49%
02.09.2020	0,27602	0,29533	0,30373	0,26565	2,08B	-6,57%
01.09.2020	0,29542	0,28114	0,29881	0,27632	1,63B	5,07%
31.08.2020	0,28117	0,28303	0,2845	0,27813	1,16B	-0,66%
30.08.2020	0,28303	0,27384	0,28383	0,27381	1,16B	3,36%
29.08.2020	0,27384	0,27167	0,2768	0,26872	952,89M	0,79%
28.08.2020	0,27168	0,26456	0,27313	0,26005	1,18B	2,70%
27.08.2020	0,26455	0,27647	0,27826	0,25489	1,56B	-4,31%
26.08.2020	0,27647	0,27641	0,28055	0,27404	1,10B	0,02%
25.08.2020	0,27641	0,28856	0,28957	0,27047	1,30B	-4,22%
24.08.2020	0,28857	0,2848	0,29193	0,28236	988,01M	1,34%
23.08.2020	0,28477	0,28609	0,28794	0,27761	969,03M	-0,47%
22.08.2020	0,28611	0,27921	0,28661	0,27353	1,22B	2,47%
21.08.2020	0,27921	0,29215	0,29575	0,27792	1,53B	-4,43%
