Fechamento,Abertura,Maxima,Minima
243.82,246.19,249.45,240.18
246.18,244.56,247.11,241.3
244.56,242,244.94,235.44
242,240.27,244.43,238.38
240.23,243.37,247.5,239.7
243.37,244.53,246.41,236.68
244.52,237.9,244.76,233.84
237.94,248.01,253.21,227.95
247.97,231.8,249.81,230.85
231.81,243.63,245.33,230.31
243.63,220.66,246.55,218.86
220.66,220.14,224.52,217.84
220.18,208.2,220.33,204.79
208.18,200.99,208.18,200.85
201,204.13,204.9,197.3
204.13,199.99,205.52,198.57
199.97,206.65,210.4,199.97
206.62,207.35,211.03,204.97
207.35,198.75,209.04,196.68
198.75,210,211.58,192.11
209.99,214.52,215.28,207.03
214.51,214.88,215.75,209.79
214.87,207,217,207
207,200.51,209.79,199.77
200.51,194.85,203.12,193.48
194.85,203.29,204.02,192.61
203.3,199.58,205.82,196.21
199.58,189.82,200.82,188.59
189.84,185.82,192.04,185.68
185.96,187.77,193.26,177.43
187.78,210.19,210.19,180.7
210.22,211.47,214.5,208.83
211.45,212,216.44,207.25
212,199.05,214,197.36
199.04,205.36,210.62,198.79
205.36,206.59,211.33,201.75
206.61,209.85,210.63,195.25
209.83,213.96,218.74,205.5
213.96,212,215.15,210.51
212,206.23,216.99,206.06
206.22,215.42,227.05,202.59
215.4,196.55,218.32,196.45
196.55,196.13,197.51,192.47
196.14,197.35,198.8,190.87
197.35,194.01,199.3,192.52
194.01,187.57,197.35,186.03
187.58,185.48,189.33,185.19
185.46,182.72,192.4,178.54
182.72,170.79,183.71,169.93
170.79,170.37,174.48,168.31
170.4,180.12,186.24,167.51
180.13,187.47,188.23,177.24
187.45,170.63,189.22,170.61
170.63,172.32,174.52,168.55
172.31,152.9,174.28,148.91
152.9,158.43,161.06,152.44
158.45,156.36,161.57,155.52
156.38,158.76,158.85,150.6
158.73,158.18,164.75,155.17
158.18,157.85,161.37,154.01
157.86,169.67,170.1,152.52
169.68,173.01,173.2,165.91
173,164.71,174.23,163.73
164.71,171.07,175.78,162.75
171.06,142.58,171.24,142.55
142.58,144.03,145.26,140.84
144.01,141.13,145.71,139.36
141.14,141.29,146.46,138.01
